ogc_fid,gm_,date,yr,format_date,gm_date,field_3,tm,field_5,opp,w/l,r,ra,inn,w_l,rank,gb,win,loss,save,time,d/n,attendance,streak,orig. scheduled,gm_loc,total_wins,total_losses
155,155,Friday Sep 20,2013,Friday Sep 20 2013,,boxscore,BOS,,TOR,W,6,3,,94-61,1,up 9.0,Lester,Rogers,Uehara,3:26,N,37215,++,,BOS,94,61
156,156,Saturday Sep 21,2013,Saturday Sep 21 2013,,boxscore,BOS,,TOR,L,2,4,,94-62,1,up 8.0,Buehrle,Buchholz,Janssen,3:07,N,37569,-,,BOS,94,62
157,157,Sunday Sep 22,2013,Sunday Sep 22 2013,,boxscore,BOS,,TOR,W,5,2,,95-62,1,up 8.0,Doubront,Dickey,Uehara,2:13,D,37020,+,,BOS,95,62
116,116,Wednesday Aug 7,2013,Wednesday Aug 7 2013,,boxscore,BOS,@,HOU,W,7,5,,70-46,1,up 2.5,Tazawa,Fields,Uehara,3:53,N,22205,++,,HOU,70,46
117,117,Thursday Aug 8,2013,Thursday Aug 8 2013,,boxscore,BOS,@,KCR,L,1,5,,70-47,1,up 2.0,Chen,Lester,Hochevar,2:38,N,21121,-,,KCR,70,47
118,118,Friday Aug 9,2013,Friday Aug 9 2013,,boxscore,BOS,@,KCR,L,6,9,,70-48,1,up 2.0,Bueno,Britton,Holland,3:25,N,29485,--,,KCR,70,48
119,119,Saturday Aug 10,2013,Saturday Aug 10 2013,,boxscore,BOS,@,KCR,W,5,3,,71-48,1,up 3.0,Workman,Guthrie,Uehara,3:28,N,38742,+,,KCR,71,48
120,120,Sunday Aug 11,2013,Sunday Aug 11 2013,,boxscore,BOS,@,KCR,L,3,4,,71-49,1,up 3.0,Shields,Lackey,Holland,2:56,D,24935,-,,KCR,71,49
121,121,Tuesday Aug 13,2013,Tuesday Aug 13 2013,,boxscore,BOS,@,TOR,W,4,2,11,72-49,1,up 4.0,Uehara,Loup,,3:37,N,32816,+,,TOR,72,49
122,122,Wednesday Aug 14,2013,Wednesday Aug 14 2013,,boxscore,BOS,@,TOR,L-wo,3,4,10,72-50,1,up 3.0,Lincoln,Workman,,3:20,N,31695,-,,TOR,72,50
123,123,Thursday Aug 15,2013,Thursday Aug 15 2013,,boxscore,BOS,@,TOR,L,1,2,,72-51,1,up 2.0,Buehrle,Peavy,Janssen,2:43,N,40477,--,,TOR,72,51
