player_id,wc,number,player,captain,position,DOB,age,exp,club,country,league_division,nat_championship,nat_top5,cont_championship,goals_scored,games_played
Maicon-10,2010,2,Maicon,0,DF,26-Jul-81,28,59,Internazionale,Italy,1,1,1,1,0,10
Lucio-10,2010,3,Lucio,1,DF,8-May-78,32,93,Internazionale,Italy,1,1,1,1,0,7
Juan-10,2010,4,Juan,0,DF,1-Feb-79,31,76,Roma,Italy,1,0,1,0,0,2
Felipe Melo-10,2010,5,Felipe Melo,0,MF,26-Aug-83,26,18,Juventus,Italy,1,0,0,0,0,8
Michel Bastos-10,2010,6,Michel Bastos,0,DF,2-Aug-83,26,5,Lyon,France,1,0,1,0,1,5
Elano-10,2010,7,Elano,0,MF,14-Jun-81,28,44,Galatasaray,Turkey,1,0,1,0,1,9
G. Silva-10,2010,8,G. Silva,0,MF,7-Oct-76,33,93,Panathinaikos,Greece,1,1,1,0,0,9
Luis Fabiano-10,2010,9,Luis Fabiano,0,FW,8-Nov-80,29,38,Sevilla,Spain,1,0,1,0,3,7
Kaka-10,2010,10,Kaka,0,MF,22-Apr-82,28,81,Real Madrid,Spain,1,0,1,0,1,8
Robinho-10,2010,11,Robinho,0,FW,25-Jan-84,26,78,Santos,Brazil,1,0,0,0,4,5
Gomes-10,2010,12,Gomes,0,GK,15-Feb-81,29,11,Tottenham,England,1,0,1,0,0,2
Dani Alves-10,2010,13,Dani Alves,0,DF,6-May-83,27,36,Barcelona,Spain,1,1,1,0,0,0
Luisao-10,2010,14,Luisao,0,DF,13-Feb-81,29,45,Benfica,Portugal,1,1,1,0,0,8
Thiago Silva-10,2010,15,Thiago Silva,0,DF,22-Sep-84,25,45,Milan,Italy,1,0,1,0,0,3
Gilberto-10,2010,16,Gilberto,0,DF,25-Apr-76,34,34,Cruzeiro,Brazil,1,0,1,0,0,1
Josue-10,2010,17,Josue,0,MF,19-Jul-79,30,27,Wolfsburg,Germany,1,0,0,0,0,2
Ramires-10,2010,18,Ramires,0,MF,24-Mar-87,23,12,Benfica,Portugal,1,1,1,0,2,5
