"ogc_fid","gm_","date","field_3","tm","field_5","opp","w/l","r","ra","inn","w_l","rank","gb","win","loss","save","time","d/n","attendance","streak","orig. scheduled","gm_loc"
76,"76","Friday Jun 21","boxscore","BOS","@","DET","W","10","6","","45-31","1","up 2.0","Lester","Fister","","3:16","N","41126","+","","DET"
77,"77","Saturday Jun 22","boxscore","BOS","@","DET","L","3","10","","45-32","1","up 2.0","Scherzer","Webster","","3:05","N","42508","-","","DET"
78,"78","Sunday Jun 23","boxscore","BOS","@","DET","L","5","7","","45-33","1","up 2.0","Benoit","Miller","","3:47","D","41507","--","","DET"
88,"88","Friday Jul 5","boxscore","BOS","@","LAA","W","6","2","","54-34","1","up 5.5","Doubront","Wilson","","3:14","N","37092","+++++","","LAA"
89,"89","Saturday Jul 6","boxscore","BOS","@","LAA","L-wo","7","9","11","54-35","1","up 5.0","De La Rosa","Breslow","","4:22","N","36112","-","","LAA"
90,"90","Sunday Jul 7","boxscore","BOS","@","LAA","L","0","3","","54-36","1","up 4.5","Weaver","Lackey","Frieri","2:57","N","39018","--","","LAA"
91,"91","Monday Jul 8","boxscore","BOS","@","SEA","L","4","11","","54-37","1","up 3.5","Hernandez","Lester","","3:21","N","21830","---","","SEA"
92,"92","Tuesday Jul 9","boxscore","BOS","@","SEA","W","11","8","","55-37","1","up 3.5","Breslow","Beavan","Uehara","3:44","N","21076","+","","SEA"
93,"93","Wednesday Jul 10","boxscore","BOS","@","SEA","W","11","4","","56-37","1","up 3.5","Doubront","Harang","","3:23","N","20468","++","","SEA"
94,"94","Thursday Jul 11","boxscore","BOS","@","SEA","W","8","7","10","57-37","1","up 3.5","Wright","Wilhelmsen","Uehara","4:04","D","25367","+++","","SEA"
95,"95","Friday Jul 12","boxscore","BOS","@","OAK","W","4","2","","58-37","1","up 4.5","Lackey","Doolittle","Uehara","3:06","N","27084","++++","","OAK"
96,"96","Saturday Jul 13","boxscore","BOS","@","OAK","L","0","3","","58-38","1","up 3.5","Griffin","Lester","Balfour","2:49","N","36067","-","","OAK"
97,"97","Sunday Jul 14","boxscore","BOS","@","OAK","L-wo","2","3","11","58-39","1","up 2.5","Cook","Thornton","","3:34","D","31417","--","","OAK"
104,"104","Friday Jul 26","boxscore","BOS","@","BAL","L","0","6","","61-43","2","0.5","Tillman","Lackey","","2:35","N","39063","--","","BAL"
